200.192.236.242:1080 (socks5)
190.93.247.2:80 (http)
190.93.244.171:80 (http)
170.80.91.11:4145 (socks4)
190.93.244.247:80 (http)
201.204.168.106:45923 (socks4)
190.93.247.247:80 (http)
190.93.247.8:80 (http)
190.93.246.210:80 (http)
138.121.142.154:8080 (http)
201.206.141.102:6969 (socks4)
190.93.246.9:80 (http)
190.93.246.137:80 (http)
190.93.247.0:80 (http)
200.229.147.2:999 (http)
190.93.244.24:80 (http)
190.93.247.196:80 (http)
190.93.245.9:80 (http)
190.93.247.124:80 (http)
190.93.244.226:80 (http)
190.93.245.2:80 (http)
170.80.91.2:4145 (socks4)
190.93.245.242:80 (http)
190.93.244.26:80 (http)
181.194.226.73:8080 (http)
190.93.245.101:80 (http)
190.93.245.41:80 (http)
186.96.95.205:999 (http)
177.93.16.66:8080 (http)
190.93.245.21:80 (http)
190.61.84.166:9812 (http)
