SOCKS4 109.226.36.78:1080
SOCKS5 77.91.74.77:80
HTTP 34.165.22.141:3128
HTTP 199.203.152.99:8111
HTTP 185.241.5.57:3129
HTTP 77.137.39.241:19000
HTTP 45.145.128.133:8085
HTTP 194.36.91.83:8080
HTTP 77.91.74.77:80
HTTP 45.145.128.223:8085
HTTP 45.145.128.48:8085
HTTP 129.159.139.141:3128
HTTP 45.80.107.138:8085
HTTP 195.211.71.200:1433
HTTP 45.80.107.204:8085
HTTP 212.119.40.23:8085
HTTP 45.145.131.93:8085
HTTP 62.219.20.3:8111
HTTP 77.137.21.78:19000
HTTP 45.145.131.129:8085
HTTP 45.145.131.37:8085
